#EOCS for scheme 2, relative to model 2
#1-tau                   2-Maximum Error          3-EOCS                   
0.1                      0.209799                 	
0.05                     0.072592                 1.53112
0.025                    0.0203654                1.83369
0.0125                   0.00526223               1.95237
0.00625                  0.00132671               1.98782
0.003125                 0.000332426              1.99675
0.0015625                8.31018e-05              2.00008
0.00078125               2.07828e-05              1.99949
0.000390625              5.19649e-06              1.99978
0.000195313              1.29881e-06              2.00035
9.76563e-05              3.24474e-07              2.00101
4.88281e-05              8.2711e-08               1.97195
2.44141e-05              2.16242e-08              1.93543
